,french,english
170,gens,people
171,donc,SO
172,jour,day
173,soir,evening
174,autres,others
175,toute,all
176,bonjour,Good morning
177,maison,House
178,nom,name
179,argent,money
180,nos,our
181,ouais,Yeah
182,pense,think
183,merde,shit
184,nuit,night
185,papa,dad
186,cela,that
187,salut,Hi
188,cet,this
189,avons,have
190,reste,stay
191,désolé,Sorry
192,maman,Mom
193,peur,fear
194,arrive,arrived
195,seul,alone
196,vite,quickly
197,prendre,take
198,regarde,look at
199,air,air
200,soit,either
201,trois,three
202,quelle,what
203,passé,pass
204,savoir,know
205,plaît,please
206,choses,things
207,moins,less
208,fils,son
209,entre,between
210,bas,down
211,appelle,calls
212,passe,pass
213,ah,oh
214,tête,head
215,demain,tomorrow
216,grand,big
217,arrête,stopped
218,faites,do
219,voulez,want
220,hé,Hey
221,attends,hold on
222,hein,eh
223,enfants,children
224,assez,enough
225,raison,reason
226,aurais,would have
227,voulais,wanted
228,elles,they
229,parle,speak
230,ok,OK
231,jours,days
232,dû,of
233,moment,moment
234,heure,hour
235,puis,Then
236,gars,guys
237,hommes,men
238,amour,love
239,tard,late
240,toutes,all
241,sommes,are
242,tuer,kill
243,eh,eh
244,ami,friend
245,connais,know
246,petite,small
247,aider,help
248,chance,chance
249,savez,know
250,partir,leave
251,sait,knows
252,combien,How much
253,voiture,car
254,tant,so much
255,pris,taken
256,part,go
257,problème,issue
258,prends,take
259,porte,door
260,coup,cut
261,serait,would be
262,venir,come
263,famille,family
264,travail,work
265,pu,could
266,seule,alone
267,sens,sense
268,ni,neither
269,allons,let's go
270,revoir,goodbye
271,idée,idea
272,putain,whore
273,passer,pass
274,contre,against
275,comprends,understand
276,entendu,heard
277,trouvé,find
278,trouver,find
279,vieux,old
280,vient,come
281,pendant,during
282,aurait,would have
283,quelques,a few
284,attention,attention
285,demande,request
286,chercher,seek
287,sous,below
288,voici,here is
289,pourrait,could
290,sang,blood
291,pouvez,can
292,sortir,to go out
293,question,question
294,histoire,history
295,amis,friends
296,venez,come
297,frère,brother
298,rester,stay
299,fini,finished
300,ville,city
301,nouveau,new
302,truc,thing
303,tiens,hold
304,mois,month
305,eux,them
306,mec,dude
307,yeux,eyes
308,laisse,leave alone
309,super,great
310,belle,beautiful
311,longtemps,a long time
312,police,police
313,eau,water
314,heures,hours
315,car,because
316,importe,imported
317,cas,case
318,vont,are going
319,chaque,each
320,terre,earth
321,place,place
322,tué,kill
323,type,kind
324,main,hand
325,pardon,pardon
326,ensemble,together
327,seulement,only
328,guerre,war
329,beau,beautiful
330,vers,towards
331,prie,pray
332,devant,in front
333,trouve,find
334,partie,part
335,suite,following
336,compris,Understood
337,matin,Morning
338,leurs,their
339,aucun,none
340,arrivé,arrived
341,dessus,above
342,chérie,Dear
343,mettre,put
344,aide,help
345,étaient,were
346,perdu,lost
347,fin,END
348,sois,be
349,premier,first
350,genre,gender
351,aimerais,would like to
352,droit,right
353,donne,given
354,attendez,wait
355,jeune,young
356,feu,fire
357,devrais,should
358,enfant,child
359,chambre,bedroom
360,gros,fat
361,côté,side
362,venu,came
363,loin,far
364,laisser,to leave 
365,donner,give
366,jouer,play
367,savais,knew
368,compte,account
369,s,s
370,parlé,speak
371,minutes,minutes
372,regardez,look
373,train,train
374,première,first
375,pouvoir,power
376,aura,will have
377,mourir,die
378,dernière,last
379,donné,given
380,mari,husband
381,écoute,listen
382,enfin,Finally
383,devrait,should
384,mis,put
385,film,movie
386,aucune,none
387,fort,strong
388,façon,way
389,pays,country
390,prêt,ready
391,madame,Mrs
392,femmes,women
393,affaire,affair
394,pourrais,could
395,espère,hope
396,parti,left
397,h,h
398,boulot,job
399,endroit,place
400,fou,mad
401,corps,body
402,hier,yesterday
403,dont,of which
404,désolée,Sorry
405,grande,big
406,point,point
407,cinq,five
408,dehors,out
409,filles,girls
410,cause,cause
411,vivre,live
412,près,close
413,pensais,thought
414,garçon,boy
415,chef,chief
416,haut,high
417,capitaine,captain
418,dirait,would say
419,bébé,baby
420,celui,the one
421,demandé,request
422,possible,possible
423,mains,hands
424,ainsi,Thus
425,quatre,four
426,nouvelle,new
427,années,years
428,plein,full
429,semaine,week
430,dites,say
431,croire,believe
432,marche,walk
433,tour,round
434,école,school
435,manger,eat
436,plutôt,instead
437,docteur,doctor
438,ceux,those
439,vérité,truth
440,vue,view
441,arrêter,Stop
442,essaie,try
443,envie,envy
444,bientôt,Soon
445,instant,moment
446,dernier,last
447,affaires,business
448,arriver,arrive
449,demander,ask
450,meilleur,best
451,font,make
452,derrière,behind
453,c,vs
454,dollars,dollars
455,presque,almost
456,dr,Dr.
457,tellement,such
458,tomber,to fall
459,journée,daytime
460,voulait,wanted to
461,appeler,to call
462,bureau,desk
463,confiance,trust
464,garde,guard
465,attendre,to wait for
466,numéro,number
467,serai,will be
468,dur,hard
469,á,has
470,souviens,remember
471,o,o
472,voyez,see
473,cours,course
474,bonsoir,Good evening
475,route,road
476,fera,will do
477,prend,takes
478,cul,ass
479,abord,on board
480,important,important
481,peine,penalty
482,croyais,believed
483,mot,word
484,devez,must
485,suffit,enough
486,minute,minute
487,ferme,farm
488,ben,well
489,plaisir,pleasure
490,chien,dog
491,jeu,game
492,seigneur,lord
493,messieurs,gentlemen
494,calme,calm
495,voudrais,would like
496,heureux,happy
497,prenez,take
498,mariage,marriage
499,voit,see
500,parents,parents
501,lls,they
502,dedans,inside
503,entrer,enter
504,lit,bed
505,parfait,Perfect
506,fous,crazy
507,mlle,Miss
508,rentrer,to return
509,ait,have
510,musique,music
511,arrêtez,stop
512,autant,as much
513,service,service
514,reviens,come back
515,ceci,this
516,drôle,funny
517,attend,waits
518,parfois,Sometimes
519,téléphone,phone
520,retour,back
521,ira,will go
522,e,e
523,pauvre,poor
524,verre,glass
525,général,general
526,new,new
527,six,six
528,pensé,think
529,l,L
530,impossible,impossible
531,fête,party
532,adore,love
533,coeur,heart
534,aimes,love
535,ci,this
536,ferai,will do
537,président,president
538,doute,doubt
539,facile,easy
540,entends,hear
541,payer,pay
542,appelé,called
543,prison,prison
544,john,john
545,sors,go outside
546,café,coffee
547,vaut,worth
548,mauvais,bad
549,chéri,Dear
550,oublié,forget
551,bras,arm
552,i,i
553,gentil,kind
554,faute,mistake
555,équipe,team
556,exactement,Exactly
557,cœur,heart
558,penser,think
559,changer,to change
560,commence,begin
561,lieu,place
562,entendre,hear
563,ies,ies
564,roi,king
565,plan,plan
566,partout,everywhere
567,joue,plays
568,cher,Dear
569,morts,dead
570,rendre,give back
571,écrit,writing
572,travailler,to work
573,malade,sick
574,sinon,Otherwise
575,génial,awesome
576,regarder,look
577,veulent,want
578,montrer,to show
579,rentre,go home
580,travaille,work
581,armée,army
582,voulu,desired
583,cherche,look for
584,état,state
585,boire,drink
586,sécurité,security
587,dès,of the
588,esprit,spirit
589,année,year
590,dix,ten
591,york,york
592,laissé,leave alone
593,bois,drink
594,mets,put
595,propre,own
596,soyez,be
597,jack,jack
598,essayer,to try
599,faisait,did
600,tôt,early
601,surtout,Above all
602,arme,armed
603,t,t
604,rêve,dream
605,perdre,lose
606,avis,notice
607,semble,seems
608,pire,worse 
609,simple,simple
610,penses,think
611,parles,speak
612,paix,peace
613,livre,book
614,dormir,sleep
615,voyons,let's see
616,difficile,difficult
617,retard,delay
618,allait,was going to
619,d,d
620,sujet,subject
621,appris,learned
622,ensuite,Next
623,sauf,except
624,maître,master
625,morte,dead
626,noir,black
627,or,gold
628,dîner,dinner
629,choix,choice
630,serais,would be
631,écoute,listen
632,sale,dirty
633,étiez,were
634,sûrement,certainly
635,an,year
636,ordre,order
637,souvent,often
638,essayé,try
639,peuvent,can
640,visage,face
641,bout,end 
642,changé,exchange
643,sérieux,serious
644,inquiète,worry
645,âge,age
646,photo,photo
647,rue,Street
648,tirer,to pull
649,comprendre,to understand
650,face,face
651,semaines,weeks
652,marché,walk
653,questions,questions
654,honneur,honor
655,ciel,sky
656,allé,go
657,garder,keep
658,chemin,path
659,grave,severe
660,gauche,LEFT
661,petits,small
662,courant,fluent
663,amie,friend
664,nouvelles,news
665,avion,plane
666,con,idiot
667,content,thrilled
668,force,strength
669,oublie,forget
670,devoir,duty
671,prochaine,next
672,prix,price
673,propos,about
674,bateau,boat
675,bouge,move
676,voix,voice
677,rouge,red
678,restez,stay
679,celle,that
680,pouvais,could
681,personnes,people
682,ferais,would do
683,début,beginning
684,espèce,species
685,gueule,mouth
686,acheter,buy
687,continue,keep on going
688,sort,spell
689,faim,hunger
690,long,long
691,j,j
692,voyage,journey
693,message,message
694,sorte,sort
695,reçu,received
696,bienvenue,Welcome
697,idiot,silly
698,certains,some
699,hôpital,hospital
700,promis,promised
701,devenir,become
702,ouvre,opens
703,grâce,grace
704,sûre,safe
705,problèmes,problems
706,armes,weapons
707,trucs,stuff
708,camp,camp
709,allais,were going
710,occupe,busy
711,devait,had to
712,manque,lack
713,connaissez,know
714,thé,tea
715,avaient,had
716,cheveux,hair
717,soleil,sun
718,salle,room
719,gagner,earn
720,laissez,let
721,erreur,error
722,cru,believed
723,pars,leave
724,bizarre,weird
725,croyez,believe
726,sac,bag
727,hôtel,hotel
728,oncle,uncle
729,pièce,piece
730,pouvait,could
731,fond,bottom
732,soirée,evening
733,secret,secret
734,patron,boss
735,rapport,report
736,apprendre,learn
737,commencé,begin
738,sauver,save
739,seconde,second
740,pensez,think
741,allô,Hello
742,ailleurs,elsewhere
743,agent,agent
744,froid,cold
745,seras,will be
746,pied,foot
747,jolie,pretty
748,revenir,to come back
749,scène,scene
750,pieds,feet
751,n,not
752,devons,must
753,groupe,band
754,carte,map 
755,aurai,will have
756,effet,effect
757,neuf,nine
758,fallait,had to
759,monte,mounted
760,battre,beat
761,noël,Christmas
762,venue,coming
763,mots,words
764,tire,drawn
765,droite,RIGHT
766,libre,free
767,soeur,sister
768,situation,situation
769,seront,will be
770,faux,fake
771,bordel,mess
772,foutre,cum
773,lumière,light
774,euh,uh
775,incroyable,amazing
776,tue,kill
777,joli,pretty
778,connaît,knows
779,debout,standing
780,colonel,colonel
781,cheval,horse
782,écoutez,Listen
783,george,george
784,joe,joe
785,vieille,old
786,entrez,Come in
787,intérieur,interior
788,coin,corner
789,auras,will have
790,gagné,won
791,fric,money
792,loi,law
793,absolument,absolutely
794,dame,lady
795,cool,cool
796,magnifique,Magnificent
797,dos,back
798,occuper,to occupy
799,présent,here
800,retrouver,find
801,réussi,successful
802,frank,frank
803,rencontrer,meet
804,aviez,had
805,meilleure,best
806,âme,soul
807,prêts,loans
808,doucement,gently
809,table,table
810,lettre,letter
811,rappelle,remember
812,sam,sat
813,fut,was
814,risque,risk
815,ordres,orders
816,appel,call
817,commencer,to start
818,terminé,finished
819,agit,acts
820,blanc,white
821,sœur,sister
822,pareil,The same
823,charlie,Charlie
824,chaud,hot
825,finir,finish
826,touche,touch
827,avance,advance
828,ignore,ignore
829,meurtre,murder
830,tranquille,calm
831,anniversaire,birthday
832,déjeuner,lunch
833,disais,said
834,bord,edge
835,tom,Tom
836,jeunes,youth
837,accident,accident
838,parlez,speak
839,fasse,do
840,complètement,completely
841,déteste,hated
842,clair,clear
843,marcher,to walk
844,disait,said
845,mauvaise,bad
846,envoyé,sent
847,â,has
848,professeur,teacher
849,heureuse,happy
850,doivent,must
851,midi,noon
852,lire,read
853,moyen,AVERAGE
854,ferait,would do
855,commandant,commanding officer
856,vraie,true
857,sept,seven
858,forme,shape
859,tombe,fall
860,silence,silence
861,sortez,go out
862,connaître,to know
863,puisse,can
864,cadeau,gift
865,flics,cops
866,mer,sea
867,médecin,doctor
868,exact,exact
869,décidé,decided
870,moitié,half
871,surprise,surprise
872,avocat,lawyer
873,montre,watch
874,b,b
875,su,know
876,porter,to carry
877,télé,TV
878,vivant,alive
879,jure,sworn
880,disent,say
881,mr,mr
882,serez,will be
883,devriez,should
884,devenu,became
885,aimé,love
886,diable,devil
887,ligne,line
888,mission,assignment
889,suppose,Assumed
890,chacun,each
891,autour,around
892,pote,pal
893,grosse,fat
894,expliquer,explain
895,arrivée,arrival
896,monter,to go up
897,balle,ball
898,selon,according to
899,photos,Pictures
900,contrôle,control
901,prête,ready
902,anglais,English
903,sorti,got out
904,k,k
905,bons,good
906,disparu,disappeared
907,tenir,hold
908,simplement,simply
909,quitter,to leave
910,envoie,send
911,paul,paul
912,aimer,to like
913,voie,way
914,paris,Paris
915,classe,class
916,huit,eight
917,offre,offer
918,poste,job
919,dangereux,dangerous
920,attaque,attack
921,impression,impression
922,folle,crazy
923,michael,michael
924,mange,eat
925,bravo,well done
926,arrière,back
927,amérique,America
928,suivre,follow
929,aille,go
930,oublier,forget
931,peuple,people
932,baiser,kiss
933,rencontré,encounter
934,honte,shame
935,connard,asshole
936,trou,hole
937,retourner,return
938,chanson,song
939,change,exchange
940,arrêté,stopped
941,enfer,hell
942,écrire,to write
943,livres,books
944,habitude,habit
945,réponse,answer
946,david,David
947,lieutenant,lieutenant
948,savait,knew
949,radio,radio
950,tenez,hold
951,bande,band
952,bob,bob
953,rend,makes
954,compagnie,company
955,connu,known
956,secours,relief
957,danse,dance
958,met,puts
959,vit,lives
960,conneries,bullshit
961,aurez,will have
962,imagine,conceived
963,boîte,box
964,joué,plays
965,triste,sad
966,sud,south
967,lu,read
968,tel,such
969,merveilleux,wonderful
970,pute,whore
971,aie,Ouch
972,ressemble,looks like
973,coucher,to sleep
974,ennuis,trouble
975,volé,stolen
976,sortie,exit
977,devais,had to
978,combat,fight
979,bouche,mouth
980,certain,certain
981,visite,visit
982,existe,exist
983,bête,beast
984,retourne,return
985,approche,approach
986,pourtant,Yet
987,plusieurs,several
988,rire,laugh
989,but,aim
990,sergent,sergeant
991,public,audience
992,système,system
993,présente,present
994,dirai,will say
995,faudra,will be necessary
996,écouter,listen
997,hors,out
998,exemple,example
999,vendre,sell
1000,continuer,continue
1001,coups,blows
1002,pourra,will be able to
1003,sympa,nice
1004,nord,north
1005,cuisine,kitchen
1006,époque,era
1007,grands,big
1008,héros,hero
1009,étrange,odd
1010,avenir,future
1011,danger,hazard
1012,envoyer,send
1013,gouvernement,government
1014,danser,to dance
1015,lune,moon
1016,etre,be
1017,poser,to set down
1018,partez,leave
1019,normal,normal
1020,peau,skin
1021,santé,health
1022,ecoutez,Listen
1023,ouvrir,open
1024,nez,nose
1025,secondes,seconds
1026,amoureux,lover
1027,dommage,Shame
1028,pleine,full
1029,mille,thousand
1030,banque,bank
1031,voler,fly
1032,clé,key
1033,bonnes,good
1034,paraît,appears
1035,servir,serve
1036,journal,newspaper
1037,village,village
1038,tient,is holding
1039,flic,cop
1040,salaud,bastard
1041,juge,judge
1042,tiré,drawn
1043,cour,court
1044,assis,sat
1045,bruit,noise
1046,terrible,terrible
1047,prochain,next
1048,inspecteur,inspector
1049,liberté,freedom
1050,blague,joke
1051,robe,dress
1052,crime,crime
1053,bière,beer
1054,tas,heap
1055,viennent,are coming
1056,don,Don
1057,reine,queen
1058,protéger,protect
1059,seuls,alone
1060,préfère,favorite
1061,bar,bar
1062,dingue,crazy
1063,vent,wind
1064,pitié,pity
1065,croit,believes
1066,payé,paid
1067,travers,through
1068,club,club
1069,garçons,boys
1070,conseil,advice
1071,mesdames,ladies
1072,sol,ground
1073,bonheur,happiness
1074,rêves,dreams
1075,centre,center
1076,thé,tea
1077,mêmes,same
1078,avions,planes
1079,mike,mike
1080,nulle,nothing
1081,stupide,stupid
1082,pouvons,can
1083,vin,wine
1084,tante,aunt
1085,sent,feels
1086,fiche,form
1087,milieu,medium
1088,signe,sign
1089,unis,United
1090,appelez,call
1091,départ,departure
1092,inutile,useless
1093,emmener,take away
1094,comprenez,understand
1095,liste,list
1096,gamin,kid
1097,johnny,johnny
1098,hey,hey
1099,prise,socket
1100,savent,know
1101,différent,different
1102,verra,will see
1103,probablement,probably
1104,intérêt,interest
1105,choisi,selected
1106,parole,speech
1107,ennemi,enemy
1108,vêtements,clothes
1109,aimez,love
1110,recherche,research
1111,société,Company
1112,faisais,did
1113,peter,to fart
1114,œil,eye
1115,soin,care
1116,chère,dear
1117,tourne,turned
1118,ià,here
1119,descendre,to come down
1120,félicitations,Congratulations
1121,pose,laid
1122,position,position
1123,oeil,eye
1124,vouloir,to want
1125,mecs,guys
1126,irai,will go
1127,spectacle,show
1128,acheté,bought
1129,laquelle,which
1130,rôle,role
1131,intéresse,interested
1132,utiliser,to use
1133,match,match
1134,devient,becomes
1135,quitté,quits
1136,asseoir,Sit
1137,environ,approximately
1138,plait,please
1139,mur,wall
1140,blessé,hurt
1141,mise,putting
1142,harry,Harry
1143,you,you
1144,beauté,beauty
1145,salope,slut
1146,parie,bet
1147,sert,serves
1148,soldats,soldiers
1149,films,movies
1150,américain,American
1151,marier,marry
1152,entrée,entrance
1153,soldat,soldier
1154,ouvert,open
1155,sauter,jump
1156,londres,London
1157,eiie,eiie
1158,lequel,which
1159,lâche,coward
1160,église,church
1161,pierre,rock 
1162,art,art
1163,fenêtre,window
1164,humain,human
1165,tort,wrong
1166,cerveau,brain
1167,coupable,guilty
1168,petites,small
1169,promets,promise
1170,adresse,address
1171,prince,prince
1172,quartier,neighborhood
1173,espoir,hope
1174,conduire,to drive
1175,auriez,would have
1176,ridicule,ridiculous
1177,justice,justice
1178,rose,pink
1179,venus,Venus
1180,max,max
1181,jimmy,jimmy
1182,presse,press
1183,adieu,farewell
1184,revient,come back
1185,expérience,experience
1186,présenter,to present
1187,tombé,fall
1188,faisons,let's do
1189,épouser,marry
1190,frères,brothers
1191,veuillez,please
1192,revenu,income
1193,colère,anger
1194,bill,bill
1195,vis,screw
1196,james,James
1197,pourriez,could
1198,jim,jim
1199,intéressant,interesting
1200,ouvrez,open
1201,nature,nature
1202,gosse,kid
1203,taxi,Taxi
1204,fier,proud
1205,preuve,evidence
1206,riche,rich
1207,faudrait,should
1208,base,base
1209,fleurs,flowers
1210,vide,empty
1211,portes,doors
1212,mademoiselle,miss 
1213,formidable,tremendous
1214,nul,
1215,directeur,director
1216,chanter,sing
1217,contact,contact
1218,histoires,stories
1219,marié,married
1220,défense,defense
1221,répondre,answer
1222,excuse,excuse
1223,responsable,responsible
1224,deuxième,second
1225,mary,mary
1226,san,san
1227,appartement,apartment
1228,décision,decision
1229,cinéma,movie theater
1230,jeter,throw
1231,aimais,loved
1232,cacher,hide
1233,glace,ice
1234,occasion,occasion
1235,dents,teeth
1236,vacances,vacation
1237,course,race
1238,ravi,delighted
1239,tueur,killer
1240,sentir,feel
1241,courage,courage
1242,jésus,Jesus
1243,allée,aisle
1244,capable,able
1245,essayez,try
1246,sauvé,Safe
1247,longue,long
1248,parmi,among
1249,continuez,continue
1250,paie,pay
1251,superbe,stunning
1252,français,French
1253,souvenir,memory
1254,ouest,west
1255,dégage,cleared
1256,jambes,legs
1257,coupe,cut
1258,immédiatement,immediately
1259,machine,machine
1260,épouse,marry
1261,telle,such
1262,marie,married
1263,mien,mine
1264,pius,more
1265,certainement,certainly
1266,bombe,bomb
1267,types,types
1268,p,p
1269,né,born
1270,manière,manner
1271,gagne,won
1272,prévu,foreseen
1273,chier,take a dump
1274,trouves,found
1275,u,u
1276,idées,ideas
1277,touché,touch
1278,rendu,rendered
1279,monstre,monster
1280,km,km
1281,retrouve,find
1282,ha,Ha
1283,f,f
1284,importance,importance
1285,joie,joy
1286,dérange,disturbs
1287,arrivent,arrive
1288,court,short
1289,pont,bridge
1290,foutu,fucked up
1291,bain,bath
1292,oubliez,forget
1293,tourner,turn
1294,contente,satisfied
1295,attendais,was waiting
1296,cent,hundred
1297,enchanté,delighted
1298,signifie,means
1299,américains,Americans
1300,quitte,quits
1301,poisson,fish
1302,henry,henry
1303,ayez,have
1304,terrain,ground
1305,enquête,investigation
1306,horrible,horrible
1307,chat,cat
1308,certaines,some
1309,r,r
1310,camion,truck
1311,copine,girlfriend
1312,joyeux,happy
1313,shérif,sheriff
1314,ramener,to bring back
1315,descends,go down
1316,éviter,avoid
1317,projet,project
1318,and,and
1319,dossier,case
1320,respect,respect
1321,excellent,excellent
1322,envers,towards
1323,mariée,bride
1324,occupé,busy
1325,lorsque,when
1326,blanche,white
1327,majesté,majesty
1328,rencontre,encounter
1329,toucher,to touch
1330,ange,angel
1331,refuse,denied
1332,charge,charge
1333,billy,billy
1334,chevaux,horses
1335,v,v
1336,chiens,dogs
1337,empêcher,to prevent
1338,dure,hard
1339,zone,area
1340,faits,facts
1341,animaux,animals
1342,meilleurs,best
1343,plupart,mostly
1344,emmène,take
1345,étions,were
1346,politique,policy
1347,chaussures,shoes
1348,langue,language
1349,mangé,eat
1350,douleur,pain
1351,planète,planet
1352,offrir,to offer
1353,règles,rules
1354,drogue,drug
1355,réalité,reality
1356,bus,bus
1357,enfoiré,Motherfucker
1358,dirais,would say
1359,permis,permit
1360,vécu,lived
1361,chapeau,hat
1362,île,island
1363,réunion,meeting
1364,soient,be
1365,contraire,opposite
1366,tony,Tony
1367,mettez,put
1368,nick,nick
1369,arrivera,to arrive at
1370,excuser,excuse
1371,code,coded
1372,couleur,color
1373,rapide,fast
1374,raconte,tell
1375,discuter,discuss
1376,opération,operation
1377,cartes,cards
1378,nourriture,food
1379,entier,entire
1380,nécessaire,necessary
1381,frais,costs
1382,toilettes,bathroom
1383,spécial,special
1384,vaisseau,vessel
1385,action,action
1386,princesse,princess
1387,magasin,store
1388,copain,boyfriend
1389,sache,know
1390,bu,drank
1391,steve,steve
1392,découvert,discovered
1393,pain,bread
1394,mignon,cute
1395,taille,size 
1396,sacré,sacred
1397,rends,give back
1398,eddie,eddie
1399,double,double
1400,viendra,will come
1401,imbécile,imbecile
1402,essaye,try
1403,champ,field
1404,personnel,staff
1405,client,customer
1406,lait,milk
1407,contrat,CONTRACT
1408,partis,gone
1409,sexe,sex
1410,mienne,mine
1411,repas,meal
1412,mémoire,memory
1413,destin,fate
1414,direction,direction
1415,dors,sleep
1416,faite,done 
1417,pleurer,cry
1418,couteau,knife
1419,malin,clever
1420,remettre,to put back
1421,ray,ray
1422,témoin,witness
1423,restes,remains
1424,mètres,meters
1425,trésor,treasure
1426,gosses,kids
1427,aiment,love
1428,washington,Washington
1429,habite,reside
1430,foi,faith
1431,puisque,since
1432,apporté,brought
1433,solution,solution
1434,trouvez,find
1435,nouveaux,new
1436,réfléchir,to reflect on
1437,choisir,choose
1438,goût,taste
1439,remercie,thanks
1440,détruire,destroy
1441,université,university
1442,doux,soft
1443,beaux,beautiful
1444,raconter,tell
1445,vitesse,speed
1446,menti,lied
1447,três,very
1448,procès,trial
1449,enceinte,pregnant
1450,amuser,amuse
1451,niveau,level
1452,vus,seen
1453,miss,miss
1454,fermer,close
1455,arranger,arrange
1456,end,end
1457,clients,clients
1458,rappeler,remind
1459,Alex,Alex
1460,failli,bankrupt
1461,arbre,TREE
1462,papiers,papers
1463,Sarah,Sarah
1464,mérite,deserved
1465,différence,difference
1466,travaillé,work
1467,disons,let's say
1468,bleu,blue
1469,dise,say
1470,aimait,loved
1471,appelles,call
1472,espace,space
1473,caméra,camera
1474,censé,supposed
1475,qu,that
1476,piste,track
1477,sourire,smile
1478,courir,run
1479,accepter,accept
1480,retrouvé,found
1481,charles,Charles
1482,jambe,leg
1483,angleterre,England
1484,quels,which
1485,préparer,prepare
1486,marre,fed up
1487,forces,strengths
1488,tirez,PULL
1489,énorme,huge
1490,Danny,Danny
1491,trés,very
1492,invité,guest
1493,rentré,go home
1494,officier,officer
1495,pièces,pieces
1496,lettres,letters
1497,file,file
1498,programme,program
1499,tommy,Tommy
1500,arrêt,stop
1501,fout,fuck
1502,balles,balls
1503,flingue,gun
1504,chasse,hunting
1505,regrette,regret
1506,to,to
1507,propres,clean
1508,victime,victim
1509,appartient,belongs
1510,france,France
1511,unique,unique
1512,régler,adjust
1513,moindre,lesser
1514,compter,count
1515,voitures,cars
1516,énergie,energy
1517,fil,thread
1518,lycée,high school
1519,crise,crisis
1520,stop,stop
1521,image,picture
1522,vérifier,check
1523,dimanche,Sunday
1524,appareil,device
1525,justement,exactly
1526,richard,richard
1527,noms,names
1528,million,million
1529,cassé,broken
1530,enlever,to remove
1531,clés,keys
1532,noire,black
1533,man,man
1534,dépend,depends
1535,derniers,last
1536,doigts,fingers
1537,réponds,answer
1538,honnête,honest
1539,prouver,prove
1540,preuves,evidence
1541,durant,during
1542,souris,mouse
1543,entendez,hear
1544,lever,lift
1545,oiseau,bird
1546,belles,beautiful
1547,oû,Or
1548,apporte,brought
1549,grandes,large
1550,morceau,piece
1551,bobby,bobby
1552,bougez,move
1553,amène,bring
1554,interdit,forbidden
1555,présence,presence
1556,récupérer,to recover
1557,quelles,what
1558,manqué,lack
1559,cou,neck
1560,venait,came
1561,étage,floor
1562,regard,glance
1563,bouger,to move
1564,finalement,Ultimately
1565,couper,cut
1566,urgence,emergency
1567,perds,lose
1568,points,points
1569,meurt,dies
1570,partons,let's leave
1571,troisième,third
1572,savons,soaps
1573,folie,madness
1574,ancien,ancient
1575,chante,sung
1576,obtenir,get
1577,répète,say again
1578,toit,roof
1579,humains,humans
1580,robert,robert
1581,jardin,garden
1582,métier,job
1583,poche,poached
1584,méchant,wicked
1585,paradis,heaven
1586,proche,close
1587,rejoindre,join
1588,lors,during
1589,nombre,number
1590,crains,fear
1591,règle,ruler
1592,frapper,hit
1593,intention,intention
